Legajo,investigacion,desde,hasta,dedicación
44323433,346989,1992-09-12,2000-12-15,21
85114937,535884,1982-04-22,2001-06-01,9
65617137,305406,1992-08-15,2002-12-07,20
96629883,949764,2007-12-24,2020-08-14,31
81119749,988230,2013-08-23,2019-10-30,15
57038828,831677,1989-07-02,1990-04-29,23
78165734,653620,2008-03-11,2008-12-18,10
79112651,149193,1976-10-15,2002-03-10,9
20485487,741587,2015-02-03,2016-11-20,16
32618043,633789,2011-11-23,2016-11-02,16
93692936,308048,2021-07-14,2024-05-07,16
28215213,11074,1972-03-28,2010-06-04,36
35725008,590353,1973-06-08,1977-04-28,39
98206096,562425,2009-11-22,2020-12-30,31
6478855,768138,1997-04-15,2023-08-27,5
49389454,104651,1971-10-16,2022-12-08,4
27948163,145563,1979-02-02,2011-11-16,12
16853685,470208,1979-06-01,1993-05-26,31
15778838,115297,1974-03-29,2004-11-22,23
1490797,343499,1987-09-22,2004-12-19,14
6030109,183801,2015-08-18,2017-10-15,15
18879742,56501,1987-02-12,2016-03-04,10
40155953,101035,1976-06-22,2015-10-02,40
68730408,95977,2003-11-24,2008-05-30,3
75502999,877307,1993-08-27,2021-12-25,7
15222684,541493,2008-12-02,2023-05-03,17
57171712,712166,1981-07-06,2023-01-05,25
20873198,740952,2016-01-31,2024-04-23,12
69937353,656222,1998-11-10,2006-07-23,19
23291944,840443,1978-12-28,2010-10-23,11
27810620,502187,2016-04-18,2023-10-20,2
68793024,444273,2010-02-19,2016-09-11,3
7142150,443323,1983-02-08,2017-04-30,8
35988236,60552,2006-10-06,2019-07-02,38
29334084,60142,1990-03-18,2016-08-26,6
66872059,576027,1990-11-12,2012-09-06,20
39453821,806188,1971-07-21,2017-05-19,23
9248523,236579,1974-07-01,2017-07-10,32
25261885,791633,2005-03-26,2019-03-14,40
37747005,15489,1973-05-10,2006-05-24,14
26456199,568309,1987-10-01,2021-08-03,10
64223638,205735,2019-06-04,2021-08-06,24
25057542,613675,1980-02-01,2013-12-27,40
14232198,742232,2017-06-13,2019-09-08,5
39702029,527153,2018-11-07,2024-04-25,37
17633221,397840,2021-05-31,2024-06-11,2
41723412,452076,2012-01-02,2020-10-19,29
30778774,507637,1971-09-14,2016-12-12,6
47348176,70402,1993-10-31,1996-04-15,5
81199603,173078,1998-11-22,2002-01-26,38
58850742,155021,2007-10-08,2011-04-13,21
88002190,991399,2010-08-14,2014-01-08,17
91302362,443187,2006-01-13,2011-05-16,27
66492736,699815,1985-12-20,2000-08-01,37
58118329,200615,1973-02-01,1994-02-25,3
95325150,94766,1980-05-29,1999-07-19,2
7788584,847462,1975-01-22,1992-05-27,10
43750717,24757,2002-11-04,2011-09-05,13
54349441,808759,1987-08-26,2021-01-05,31
95065166,903345,2000-08-14,2007-06-16,16
82747230,237942,1994-01-04,2015-03-31,1
82730836,302078,2007-05-08,2012-03-01,9
86011116,757183,2011-05-13,2015-01-27,3
18589870,799433,2003-07-31,2010-12-20,19
55272023,716371,2005-05-07,2007-08-12,2
25894146,168346,2021-11-14,2022-06-21,14
83601035,18591,1989-07-25,2002-02-21,8
99080249,457657,1984-06-25,1987-11-17,24
50305640,384037,1970-02-15,2017-08-26,15
51497457,890075,1991-01-30,2012-12-01,23
92019196,554139,1988-09-08,2022-04-28,29
3861944,632061,2021-07-11,2022-07-01,39
63403145,404842,2011-06-13,2014-09-10,32
2414559,260359,2019-03-05,2022-02-09,29
20328948,279214,2022-06-30,2023-03-21,9
4923991,991807,2008-06-13,2021-03-06,33
67135020,507614,1984-09-28,2015-09-29,17
77173911,805907,2023-08-09,2024-03-19,19
16080273,7867,2011-01-18,2019-08-21,17
10275679,915309,2015-02-03,2019-05-12,32
70049661,467801,2021-03-26,2023-04-18,24
83590885,652145,2008-03-27,2016-11-06,22
82305063,715235,1994-03-14,2018-07-21,21
28187939,287981,1976-07-25,2020-01-30,1
22983933,39618,1995-03-26,2001-01-23,12
63964694,194670,1995-05-10,2017-11-17,7
4627275,693602,1985-08-09,2020-09-17,32
62659734,282858,2022-11-01,2023-05-07,37
77780812,161042,1975-04-11,1987-11-27,36
78009091,294756,1994-07-18,2015-09-25,35
54781584,758854,1998-08-13,2021-05-25,35
92036558,759042,1980-12-17,1990-11-16,11
5635470,549905,1986-01-18,2023-12-03,33
74353561,656552,1984-06-25,2022-04-06,27
97142887,343284,2015-11-05,2022-02-04,18
6232917,287531,2006-08-22,2015-11-04,10
70402497,562326,2020-10-09,2022-08-26,21
71140695,842251,1975-01-19,1987-05-03,26
33102828,300730,1987-12-13,1993-07-18,35
32209616,921631,1974-04-27,1980-07-12,4
45689530,690075,1971-11-17,2015-07-31,32
80985430,119139,1989-02-17,2006-02-13,37
32934500,699372,2001-01-16,2014-07-02,3
44615721,985292,1974-08-01,2009-08-26,38
46193544,518959,2012-12-12,2013-01-01,33
91373059,283754,2010-01-31,2015-01-18,24
84571128,628964,2021-09-14,2023-06-24,7
36211004,457016,2005-10-13,2019-12-03,19
3331048,194429,2018-06-26,2024-05-25,24
1314953,188307,1990-05-20,2013-04-30,19
24083996,650623,1975-08-20,2023-09-16,11
35529383,762890,2023-10-07,2024-05-17,3
65592279,945219,1990-11-19,2023-07-06,18
98651684,785557,1994-02-05,2012-05-17,37
49917889,509307,2008-02-17,2010-05-28,15
77039808,15489,1970-09-17,2006-05-30,38
94158436,52732,1993-10-28,1995-06-30,36
84727501,193949,1972-03-03,1984-04-18,31
47409154,346537,2000-03-18,2001-10-10,4
67935477,7356,1971-09-04,1975-12-01,13
56801606,820771,1975-10-06,1988-03-30,13
77844421,693787,2020-01-27,2020-02-28,23
1073261,660379,1980-02-03,2018-04-05,30
17670594,160781,1972-07-12,2023-12-05,26
45488303,228676,2020-04-04,2023-06-09,25
2689822,53486,2023-06-26,2024-06-01,20
1583212,93212,2004-07-10,2017-10-18,33
97279309,63583,1985-07-08,1986-10-11,34
40859285,693157,1972-10-24,1990-03-16,34
65981956,727487,1978-04-26,2022-02-03,1
7298207,49494,2001-07-09,2020-12-17,17
49868481,46372,1988-10-25,2003-04-02,12
30451198,729703,2008-10-07,2016-06-23,28
42901468,710902,2006-08-04,2007-05-22,7
28294706,721337,1971-02-06,2008-02-28,11
87080474,571857,1997-05-11,2014-07-05,11
4054450,266510,1998-02-16,2008-01-13,40
84836504,605190,1983-07-02,1986-12-08,35
87478482,545421,1985-12-30,2023-01-02,6
57529601,20903,1977-01-06,2013-12-14,17
71207695,292027,2006-02-24,2018-02-02,27
63901536,313150,1994-05-18,2023-02-12,38
84878473,602749,1997-10-09,2016-09-14,35
88723044,493762,1984-08-02,1989-07-03,17
56962480,672440,1990-01-08,2001-11-20,20
2782828,640573,2023-10-27,2023-11-06,31
30454599,895760,1999-04-01,2006-01-06,39
56582769,848492,2018-04-26,2018-06-10,22
8106712,793307,1998-07-18,2003-02-03,14
97089109,889617,1990-11-04,1995-09-02,14
84664271,149012,2006-05-25,2022-09-12,37
64607385,107595,2023-03-28,2023-12-29,32
75069050,274506,1998-08-28,2023-08-04,30
74130973,319047,2020-05-02,2022-12-02,40
58471977,999247,2009-03-23,2010-10-04,10
33798017,700423,2023-02-06,2023-05-02,3
89127264,678338,1973-08-06,2021-06-30,5
31929857,970695,2000-10-20,2020-05-01,11
93403631,118200,1974-01-12,2010-05-13,15
74858706,372828,1996-10-08,2006-08-23,39
57033258,966215,1999-10-30,2000-07-15,18
41036879,894799,1987-09-22,2021-04-01,39
45279886,330243,2008-10-13,2009-09-12,18
99383264,389466,1973-01-09,2015-04-16,40
37052887,546692,1973-04-20,2023-10-01,13
28361944,69604,2009-05-04,2013-07-13,37
19422938,984871,1995-04-24,2014-07-24,36
1336286,555102,2015-06-17,2017-07-08,10
7749179,163249,1995-08-17,2011-10-31,2
61510811,430140,2002-09-13,2016-04-29,31
73978251,811142,2020-08-02,2021-02-24,6
22299913,808469,1995-02-13,2014-01-14,32
41478552,445939,1973-06-17,1991-01-23,18
15634618,915176,1970-09-10,1983-07-04,30
85895975,126367,1980-02-23,1996-06-16,26
16179989,834588,1970-11-03,2014-08-06,23
73823281,912598,1989-01-17,2010-04-27,22
71565585,585790,1971-09-05,2012-04-25,30
87861288,70181,2007-05-08,2012-09-24,10
8100680,258197,2001-02-11,2018-09-12,18
65890331,544674,1973-11-18,2023-08-17,28
16932186,898632,2021-02-21,2023-01-06,29
13943749,109621,1993-01-31,1997-01-17,23
71926846,425905,1976-11-20,2003-10-27,11
98707857,250682,2012-10-17,2022-01-07,30
47083804,978031,2020-05-07,2021-05-03,25
35717108,76902,2015-10-10,2023-12-29,27
24757649,572669,1974-07-28,1990-05-23,40
58160704,142816,1998-05-08,2005-12-15,40
25631090,466734,2003-03-24,2010-08-10,3
55739652,939903,1973-03-08,1981-01-21,29
57417767,704625,1974-05-29,1974-07-05,8
32365823,703791,1978-07-14,1997-05-20,23
87059593,870077,2002-09-18,2018-07-10,21
53446819,470619,2021-04-09,2021-08-09,37
89036904,13649,1970-10-27,2007-05-08,13
69478129,186908,1974-07-04,1980-05-31,8
16291751,10028,1999-11-01,2002-06-13,14
53456774,80759,1983-09-03,2017-05-13,9
13924707,549173,1989-11-02,2008-03-12,29
24559205,578350,1995-11-01,2007-04-11,28
50218270,403273,2001-11-11,2014-07-08,2
96967166,254974,1975-05-06,2017-10-22,1
18302831,647256,1992-02-22,2023-09-30,6
96093629,803927,2008-08-05,2021-01-31,13
67956229,752474,1976-05-26,2018-11-02,29
47369922,521594,1988-12-11,2018-07-18,20
92180537,924045,2020-04-15,2022-05-13,30
25956557,784788,2008-11-25,2020-12-24,34
6270751,991469,2022-06-11,2023-03-11,17
29467896,933882,2018-04-26,2019-03-31,10
46458008,897646,1979-10-11,1986-04-21,32
71515629,967441,2019-03-02,2023-05-24,4
79737059,628225,1990-12-10,1993-11-19,21
318224,685747,1991-05-23,2013-02-28,9
49634834,272574,2013-08-11,2016-01-31,11
44260861,185693,2011-05-03,2020-08-04,28
96116995,301031,2010-10-05,2022-06-23,8
26908553,725091,1991-09-02,1999-11-15,24
56986845,841511,1988-05-01,1989-09-28,26
2322359,200905,1989-07-09,2013-01-04,37
70846664,443140,1982-01-04,2002-12-31,28
83841689,985880,2004-08-23,2009-06-03,21
64878090,70840,1979-11-02,1986-11-08,35
69465839,998447,1986-12-05,2017-02-03,27
14132762,451935,1973-09-27,2009-10-22,25
68578013,87385,1990-02-24,1994-09-26,22
38952238,736019,2008-12-31,2010-08-06,3
97821794,904395,1988-02-07,1995-10-23,34
63520370,67117,1991-09-06,2021-03-19,17
51113073,729089,2004-07-11,2014-01-10,2
47424557,335541,2017-09-19,2020-04-20,3
5168459,448299,1985-11-21,2019-01-13,21
7186579,862565,1980-07-05,2006-08-22,24
41428172,656624,1979-03-28,2023-01-11,33
63292529,361084,2024-01-21,2024-06-13,4
1280029,897731,1977-08-16,2011-07-21,6
45903974,809336,1974-07-18,2003-07-09,28
8051584,549475,1991-05-24,1993-06-16,12
56984360,552472,1984-10-05,2002-10-30,9
75052189,396580,2009-09-20,2023-03-22,24
37244765,35110,1989-06-27,2010-11-02,3
99050849,248713,2009-12-28,2017-04-23,24
99435741,236402,1985-06-16,2014-03-20,35
555851,272735,1976-01-09,2003-03-05,33
94611772,93300,2012-07-07,2012-08-13,39
68966302,478173,2020-06-29,2022-07-23,18
60536430,105335,1971-12-29,1991-09-12,8
74507,668256,1989-03-24,2023-10-03,26
99426036,992789,2006-04-23,2011-07-01,12
91351304,101275,1978-01-13,2006-09-30,14
71035527,476000,1979-12-09,2011-09-28,13
16022127,681495,2007-06-27,2012-07-12,8
57883080,25374,2002-01-07,2004-04-20,25
80108781,955919,2005-03-07,2024-06-26,31
31768311,947263,2007-06-10,2022-12-03,6
55759528,820361,1987-04-10,2014-02-02,10
36339041,97501,1988-12-22,2001-07-07,5
32222041,122467,2002-10-02,2011-06-01,18
29110627,660444,1985-11-27,2002-05-22,21
40064473,113388,1984-09-13,1994-09-10,13
88412522,12636,2023-07-07,2024-06-10,8
85945922,923350,1987-03-25,1996-05-24,8
9573612,107712,1985-02-04,2004-03-01,4
26176936,918495,1977-01-08,1991-01-18,9
15065610,559205,1975-11-14,1990-06-26,9
71247554,739515,1971-10-24,1984-08-29,12
6656237,289175,1974-08-01,1987-11-20,29
57867951,718453,1983-05-10,2021-04-24,10
51152589,398386,1998-11-06,2023-08-09,21
76001336,128779,1973-07-29,1987-10-10,39
65833776,579456,2011-10-16,2020-10-15,24
56783336,808469,2022-06-20,2024-02-25,31
41717317,395915,2014-06-18,2023-11-15,28
41716057,772870,1994-03-08,2021-12-25,28
89217089,607299,2012-06-30,2021-12-31,31
47081759,19063,2020-09-14,2022-04-05,12
5771175,22222,1987-11-04,1992-04-17,7
53373548,731838,1992-05-28,1999-11-06,18
53620712,283632,1981-10-15,1991-01-25,33
66910546,68434,2014-07-31,2020-02-12,3
94809593,983853,2014-10-23,2019-06-30,17
61448377,666914,2010-11-20,2021-05-20,21
64856373,536880,1985-12-03,2019-07-18,14
99209327,443323,2023-04-24,2023-08-26,10
41336908,699922,2018-09-20,2022-04-17,2
14801148,560509,2013-05-20,2020-02-15,19
85973661,829188,2021-04-30,2022-05-07,9
77664371,289814,1992-04-05,1994-03-28,39
35832697,319047,1985-11-08,2008-11-11,39
83015013,905371,2002-06-28,2004-07-13,30
98993800,768626,2008-11-01,2023-12-28,25
95551277,890116,1977-08-10,1978-10-22,7
99242206,510314,1993-06-30,2014-11-17,38
85088443,889288,2014-11-30,2021-01-11,1
40105755,504002,1997-11-28,2007-12-28,11
97129273,720635,2024-03-11,2024-07-04,4
54346541,514432,1978-07-06,1996-01-13,14
47406321,790217,1972-03-08,1993-03-09,31
28320970,87665,1980-05-26,1985-02-01,2
98479374,847291,2016-11-28,2018-06-06,19
44478707,79047,1982-11-06,2018-01-24,26
34324110,495801,2013-05-28,2020-09-13,25
43837257,572059,1984-06-13,2016-06-05,17
65621689,122613,2020-11-24,2021-09-29,38
22628058,202705,1979-07-16,2013-09-16,22
52068411,45841,2020-10-18,2023-10-19,34
33893402,997618,2012-12-01,2021-08-29,32
46269591,359810,1992-05-20,1993-06-13,13
47573778,726100,1992-02-10,2016-10-08,23
22651220,23607,2016-01-21,2017-03-27,23
34256709,486626,1976-07-08,1991-07-22,20
67075525,938121,1976-09-27,1992-05-20,18
44063883,636642,2010-09-25,2023-08-26,8
25638171,24846,1970-05-30,1980-05-03,2
24683034,723896,1975-10-28,2017-09-26,16
20163051,222489,2003-04-21,2019-05-30,9
25516626,218076,1984-01-19,1994-09-02,36
71516019,484969,1971-05-07,2013-01-10,19
74300128,446679,2020-06-29,2023-09-28,32
18556517,575892,1978-04-27,2006-03-20,23
70447821,488413,2022-09-20,2024-05-24,36
28149123,355060,2008-06-29,2017-01-14,14
94483284,536842,2014-12-19,2020-06-10,12
61756929,664852,1997-07-26,2005-02-26,34
3449341,702834,1978-11-23,1983-09-22,11
24782758,749319,2015-08-04,2019-06-17,31
3222173,159405,1972-08-04,1994-03-18,39
77677702,312385,1979-07-28,1990-01-19,19
33888103,105639,1973-05-01,1991-08-08,23
33944381,754469,1994-10-09,2021-05-08,37
92338202,743554,2024-01-17,2024-03-09,5
89293081,361402,2010-07-02,2023-07-14,16
72800963,960248,2003-10-01,2005-06-02,9
45203774,501825,2011-01-07,2024-04-04,38
48130381,952674,2022-11-19,2024-03-19,11
55155740,592169,1990-09-04,2016-05-26,1
76723767,199166,1972-04-16,1994-01-08,18
23355457,223611,1986-04-16,1990-08-09,23
42993211,442437,1973-05-14,2022-11-12,36
34240275,230932,1977-09-11,1988-06-01,3
32699012,742970,2005-09-25,2014-07-29,13
16932186,837397,1980-01-13,2003-07-28,26
69020791,810346,1983-03-17,1993-03-08,18
60163539,706080,1974-11-12,1997-10-11,39
93441285,539719,1981-10-10,2005-07-23,30
36980825,709818,1998-04-01,2019-02-10,3
21063634,368135,1995-12-17,1996-12-09,22
32945965,438009,2021-12-06,2024-01-16,16
62419257,707704,2017-11-29,2024-01-25,14
24887030,595327,1978-08-11,2016-09-19,31
68319957,65852,1996-06-06,2014-09-27,11
33175859,405676,1995-07-13,2020-12-07,13
83485636,574987,2020-01-10,2022-04-30,5
95041558,572155,1980-09-12,1997-04-04,23
93368718,738554,2021-02-04,2021-05-23,8
53020193,931973,2022-03-25,2022-04-21,11
3360630,644309,2016-06-18,2019-01-10,27
50522220,110675,2015-02-10,2023-07-10,3
72926938,792822,1989-04-09,1996-10-07,6
3018883,732766,2018-10-08,2024-02-11,27
54624203,596455,2004-02-27,2010-10-07,29
84792434,459118,2016-03-17,2018-11-06,23
87389321,254279,2006-06-15,2011-06-14,20
4875766,986867,1997-06-16,2020-05-20,37
82114526,252739,2021-08-23,2023-10-03,18
9125643,165574,2004-10-06,2016-07-25,23
40778382,386300,1991-05-23,2019-02-22,21
36460881,348153,2021-04-17,2022-02-02,5
31141974,370010,1982-09-07,2010-03-16,8
77670177,91409,2007-09-02,2021-01-31,18
17746146,699104,1998-04-01,2006-11-09,27
14921803,424624,2018-12-06,2023-01-24,30
87825381,63050,1974-10-24,1990-04-10,20
72144239,206907,2003-03-07,2016-02-25,6
9119901,13264,1976-08-24,2017-11-12,24
86289336,295771,2004-06-24,2019-08-12,28
77364274,832701,2018-09-05,2022-08-31,37
18184114,552814,1988-11-12,1999-04-20,28
76896276,489418,1997-12-02,2003-08-21,30
93004225,826205,2008-02-08,2009-04-12,14
85417754,513772,2021-12-31,2024-03-08,4
98563378,151832,1980-05-13,1987-09-08,26
53581673,864934,1987-01-06,2003-08-25,37
18060035,44011,2016-11-06,2021-02-14,27
32192176,238879,1982-11-26,2014-06-29,3
47881230,582285,2024-01-06,2024-01-15,28
8083054,216979,1970-01-07,2010-01-22,18
77337843,8880,2011-08-15,2020-03-25,21
50564106,881829,2001-04-10,2014-11-02,8
88230755,937534,2003-06-09,2006-08-05,8
35547326,477268,1982-09-14,2003-10-10,34
47797550,848934,1982-06-06,1986-11-23,11
11352577,615329,2008-01-15,2017-10-17,2
31943867,854360,2008-04-05,2019-05-10,17
57793089,266374,1974-03-23,1999-11-15,24
29410382,455839,2017-11-01,2022-06-28,3
94769502,7527,2008-02-25,2014-02-01,30
20577259,299224,1983-08-04,1996-10-23,17
2689289,376617,1981-08-11,2006-08-08,11
1155952,52093,1996-01-09,2005-03-28,7
3090443,25887,1988-10-02,2015-03-13,17
23608023,600366,2018-08-28,2021-04-25,22
14400348,603203,2019-05-08,2021-10-07,10
67492145,369780,1976-11-01,1976-12-06,28
33108410,860761,2002-09-18,2016-06-27,17
79382274,551213,2019-04-27,2024-02-22,19
29467896,780894,2016-02-18,2024-05-06,27
76444603,343492,1987-05-09,2019-11-12,3
22892237,690551,2010-06-25,2024-06-25,10
64723884,892432,1986-05-16,2003-05-10,7
11987020,549605,1981-01-21,2017-01-11,18
37696398,862249,1980-03-31,1983-01-04,32
48210824,628637,2018-05-20,2023-02-20,4
27425648,906314,1975-06-29,2002-03-22,19
5742534,854627,1993-03-12,2004-11-13,2
52974803,940090,2002-03-14,2019-01-13,9
11574096,107161,2009-01-04,2021-08-15,16
41960192,279176,1983-08-26,2009-11-21,24
20203026,885733,2016-11-29,2022-09-14,29
55400333,52606,2005-04-25,2009-11-13,9
62101622,467801,1978-04-12,2006-05-20,18
42207508,165913,2024-01-02,2024-02-05,22
58850742,84012,2003-09-29,2004-03-03,7
72901355,497086,2018-02-07,2024-05-14,13
24200961,721277,2009-10-23,2020-07-18,3
29190866,304312,1999-08-27,2002-11-11,40
57872564,638286,1981-03-10,1999-02-07,40
11958467,261352,2021-07-05,2022-10-23,12
27656096,796901,2015-01-16,2023-11-18,22
42606481,686924,1994-09-18,2012-06-11,31
89502285,429133,1981-11-23,1996-01-28,2
59534116,811579,1984-10-16,1998-05-06,24
99401537,512605,1975-06-28,1997-06-14,24
92831453,879762,1992-08-23,1993-12-09,18
85599244,935715,1995-09-09,2017-05-21,1
87820871,466165,2023-07-22,2024-06-19,2
58959167,391610,1979-01-26,1987-01-28,14
45829780,822517,1998-09-22,2004-02-26,30
54764267,275042,1991-03-25,2013-06-21,23
20306209,699201,1995-08-24,2015-05-13,23
32952236,791048,1976-08-21,2000-03-02,36
61672243,652938,1986-10-15,1990-08-21,22
50112044,402095,2019-03-11,2024-03-16,33
8004529,866609,2010-10-06,2023-09-01,38
53008237,600798,2004-02-17,2017-10-17,39
74395965,997172,2007-03-14,2015-10-17,36
92912935,624030,1981-04-10,2005-03-14,18
7577440,790871,1981-04-05,1999-08-19,31
81156321,639823,2001-10-15,2005-11-03,16
5427923,657977,2008-10-09,2016-05-08,29
11247888,290133,1980-02-19,2001-12-14,16
41467099,865023,1987-07-28,2006-03-18,5
57851594,110543,2010-01-29,2012-01-02,26
45735597,901982,2004-07-31,2017-06-13,14
5579636,121054,2003-10-20,2019-12-10,32
99308579,124720,2005-01-02,2012-01-14,9
17822552,768206,1984-08-09,2016-07-26,34
60126033,350441,1979-12-25,2011-07-03,23
3703142,981473,1999-10-01,2021-11-10,19
94761680,277375,2015-06-12,2021-05-28,1
50686694,295987,2001-07-19,2004-12-26,37
72862738,652426,1992-11-27,2022-01-01,24
20820343,902778,1995-06-28,2019-12-10,28
31663084,231428,1994-01-06,1998-01-28,1
59245883,943229,1993-08-19,2006-03-15,27
43039343,612237,1970-10-28,2021-01-19,40
45855578,793036,1996-09-23,2019-06-27,13
80273145,518338,2021-06-10,2021-09-09,25
70023363,454339,1986-09-16,2013-02-16,35
26224412,525138,1994-10-19,2008-11-08,39
50220244,987722,2018-10-22,2024-01-19,11
52888770,499341,2024-01-13,2024-04-07,21
70112361,91450,1995-12-20,2017-03-25,22
82604699,655246,1986-02-11,1993-03-10,5
39331330,735431,1992-01-02,2021-08-13,25
41021275,199227,1970-09-25,1972-04-05,14
86576674,301031,1971-09-13,2006-06-02,21
37081309,27691,2015-02-27,2017-04-07,18
72726762,180139,2019-09-02,2023-09-02,12
93947189,696490,2016-07-01,2018-10-22,3
33676740,162234,1989-08-13,2002-07-30,28
17702614,790110,1982-07-28,1987-07-19,19
4804937,9144,1972-01-14,2016-12-26,32
89800843,89012,2010-01-04,2024-06-23,28
76373020,763925,1999-08-08,2001-07-29,37
76186979,765177,2004-04-30,2018-12-25,25
86491598,761414,2002-10-31,2004-01-20,29
12409595,756065,2003-09-23,2006-06-29,13
90283652,380360,2005-11-15,2020-03-09,3
56428857,257363,2021-05-31,2021-09-30,18
80604851,151372,1995-08-13,2018-08-20,27
54871753,11514,2006-06-14,2013-05-13,37
49552369,238137,1993-07-13,2000-04-07,10
80675797,763301,1982-01-09,1983-07-18,22
41790352,878984,1976-09-01,1981-03-17,8
64381364,202736,2012-06-02,2023-12-29,5
66405336,680037,1988-07-09,2015-06-01,35
2300995,724099,1979-04-15,1998-05-16,11
11471808,172926,1994-12-21,2014-05-10,22
29735321,575158,2006-06-17,2016-09-02,24
75813036,225579,2013-09-14,2023-07-08,35
41635625,962666,2022-11-07,2022-11-07,36
13664347,867172,2001-10-13,2019-02-10,23
57554489,812047,1977-07-11,1988-08-14,25
53893923,597883,2001-06-08,2022-03-10,16
36191374,747409,2010-05-12,2019-06-11,8
1523460,736414,1998-02-05,2014-03-31,24
96729096,546056,1995-07-24,2011-12-08,32
85330694,272873,2000-01-22,2011-01-21,38
58899448,560411,2015-01-07,2021-02-03,23
70586269,869523,1970-02-05,1975-04-09,35
99914443,490368,2022-12-06,2023-10-01,31
58340451,452323,1973-10-21,1981-07-13,9
96568418,797497,2021-10-01,2021-10-10,23
99947041,89807,1970-10-28,2019-11-10,16
48953651,51286,1992-08-04,1993-04-08,14
41982424,883681,2018-03-28,2022-03-23,5
70227038,422794,1970-04-25,1989-11-11,38
2330197,915293,1998-08-07,2021-11-15,38
36447862,139655,2016-05-10,2021-03-09,10
87257686,902310,1980-06-14,2011-12-19,29
53673122,57844,2004-06-20,2022-02-23,7
74548940,297660,2021-02-21,2022-04-10,15
71318465,658297,2010-07-16,2013-05-22,30
98983438,465927,1998-05-10,2016-03-08,2
37337860,834588,1975-10-11,1992-10-24,35
75916444,609236,2017-10-27,2019-02-02,18
50730531,518517,1971-06-11,2001-09-08,6
93372327,808097,2019-01-18,2019-03-02,29
30520248,647708,2006-11-24,2018-03-14,38
42170597,461184,2016-08-14,2020-03-31,21
44879987,121230,1981-07-16,2024-07-01,2
54535324,74415,1996-08-23,2006-08-19,39
60874900,360081,2020-08-27,2024-04-01,14
83693546,895378,1988-04-28,2006-08-11,40
46394262,372953,1978-04-15,1984-05-11,23
1211931,185145,1994-03-09,2002-04-07,7
20858761,572946,2015-10-21,2017-09-19,27
48737263,369915,2011-02-28,2024-04-21,24
14817257,84172,2016-11-02,2023-04-29,26
70136196,535884,1972-03-03,2005-02-07,38
30274181,480650,1985-12-19,2006-06-15,9
92342719,209156,1973-08-07,2004-11-03,37
72030105,417955,1975-10-30,1993-04-26,3
13264923,207761,1978-11-16,1998-03-09,38
36774481,212667,2003-05-27,2017-08-09,35
5635461,413575,2017-01-14,2017-07-02,22
61097437,356288,2019-08-04,2021-10-30,8
41711989,927888,1970-10-13,2011-10-15,9
37360773,936691,1979-06-17,2021-09-19,33
8128082,256272,1971-07-31,1974-05-02,9
56445998,888483,1995-02-05,2007-09-30,40
91273936,471218,1984-10-31,2018-12-06,19
31224800,721827,2009-01-14,2010-11-28,20
24191477,691125,2017-09-30,2018-06-26,26
83812992,372953,2020-05-17,2023-05-28,37
45049386,652714,2015-05-19,2020-01-09,32
56433461,599874,1971-12-26,1985-09-02,9
78063303,177354,1994-06-07,2002-05-13,21
88003809,918886,1988-12-24,2020-06-15,38
89656041,726608,1989-03-08,2014-06-04,8
37128528,798287,2021-11-24,2023-01-19,22
27287532,291276,1997-12-01,2003-08-23,30
75208989,545258,1982-08-01,2007-03-23,20
47857985,243941,1970-07-20,1990-11-07,20
86633413,492458,2008-12-23,2012-01-25,39
54355638,261038,2014-11-08,2020-09-15,25
54268295,14971,1988-04-07,2018-12-30,20
72247190,475463,2001-07-01,2003-02-20,23
74842629,877211,1993-05-22,2015-04-25,29
64144517,634934,2020-04-29,2023-06-28,2
91835205,288488,1983-08-21,2016-03-30,8
62890619,720635,1997-07-11,2012-03-13,31
92436132,710208,1987-12-22,2015-02-27,32
57888720,518368,1985-08-09,1993-05-03,1
12500986,370982,2018-06-17,2023-04-11,28
16887605,771409,1985-06-01,2000-04-27,5
47865659,62461,1970-01-21,2019-05-19,5
88178293,24002,2010-02-06,2018-04-11,37
76550049,75694,2012-08-12,2014-04-06,6
69948017,713642,1986-04-21,2010-09-20,3
72966305,526066,1999-04-12,2018-11-08,3
99783393,840426,2003-03-11,2010-04-20,29
82892090,463013,2008-09-24,2022-10-25,9
45043503,834856,1973-01-20,1985-01-10,29
39040785,187321,1989-08-07,2002-01-31,1
59489127,308290,1980-07-24,2002-02-19,36
55630542,147329,1985-06-10,2015-08-16,30
59976549,266565,1991-10-22,2022-08-13,15
99944523,441773,1996-05-31,2014-06-02,28
62069090,623603,1978-06-05,2012-09-02,14
3992354,483894,1978-08-30,1984-08-29,32
52994891,917432,2004-12-22,2010-04-27,25
11999838,252276,1970-10-24,2011-11-20,21
11173890,628465,1995-11-24,2022-03-03,8
21169881,164895,1995-05-19,2012-08-24,6
45596044,937580,1975-01-11,1994-10-23,15
50791177,296768,2014-02-21,2019-06-09,34
65040954,391406,1982-01-03,1995-02-21,23
31658679,159471,1973-09-06,1988-01-16,20
94117686,483331,2016-07-31,2021-10-08,19
57111446,918411,2006-02-07,2015-05-12,24
86118800,759760,2010-05-22,2011-09-26,10
96932811,208075,2015-09-03,2022-07-21,2
89535532,725487,2023-07-07,2023-11-14,29
77726886,127025,2017-10-02,2023-09-09,21
