curso_Conf,legajo,desde,hasta
them,74751601,1980-12-24,1996-11-26
claim,7227645,1972-11-02,1987-08-25
others,69830298,2009-12-15,2012-06-25
agent,91787821,2005-06-30,2012-05-03
window,64040065,2010-07-31,2021-04-24
matter,68481270,1995-10-09,2003-04-13
least,91476599,2009-08-26,2021-04-01
never,86190708,1998-04-28,2008-04-20
most,17625336,1970-07-17,2017-11-16
make,1955645,2009-05-07,2017-12-03
federal,77366974,2015-02-09,2022-08-28
citizen,81119749,1998-01-12,2018-11-28
raise,19972339,1971-01-18,1980-12-08
theory,21087135,1986-03-24,2008-07-19
type,20878498,2006-06-27,2017-03-06
tax,10857783,1994-04-27,2009-08-07
effort,54487722,1986-04-08,1990-06-27
couple,93107565,2003-06-10,2010-09-24
never,32310264,2006-01-06,2017-06-20
community,80178943,2003-06-10,2005-11-25
identify,97686954,1998-03-17,2021-09-13
behavior,88451344,1989-10-01,2009-08-12
activity,49414982,2013-03-21,2023-09-26
face,90026859,1994-12-10,2021-02-10
traditional,24611151,2009-03-02,2009-06-29
happen,76403769,2001-05-21,2005-06-10
again,23675271,1979-10-07,1997-08-04
family,65993934,1972-11-24,2003-06-06
security,81603667,1983-07-23,1986-11-16
mind,44914819,1993-01-28,2012-01-01
want,31141974,1981-06-03,2008-05-12
enjoy,16392156,1987-01-05,2005-08-27
rate,27843276,2003-05-27,2021-10-25
outside,13077823,1973-01-19,2020-06-01
town,10253240,1990-11-18,2013-11-26
rise,24283014,1976-04-18,2005-04-05
try,9012452,2000-10-30,2022-07-01
who,10103005,2001-06-21,2017-11-11
leave,34140228,2009-05-27,2013-07-03
pay,84636367,2003-12-18,2010-11-28
true,45692772,2015-10-10,2021-07-04
although,75072250,1992-08-24,2006-09-07
factor,24298141,2010-06-22,2021-05-08
view,97522725,1986-12-25,1991-05-31
myself,11487241,1988-04-17,2013-01-25
cell,8878535,1979-12-27,2023-04-06
traditional,84727501,2018-05-10,2023-11-30
require,89704477,1999-03-21,2009-12-18
director,76915253,2005-09-05,2021-11-05
short,28438777,2006-04-30,2012-10-21
some,74196694,2007-10-28,2014-11-26
find,40245419,2003-07-08,2015-11-19
sing,80751204,1971-01-27,1989-01-10
determine,55772918,2001-03-29,2010-03-16
discover,7417783,1981-08-30,2015-05-01
own,31268834,2015-04-22,2021-10-06
serious,81426622,2013-04-05,2019-04-24
any,59526783,2010-10-17,2023-07-04
defense,37360773,1995-02-09,2020-12-31
owner,75036943,1983-01-08,1991-04-17
mother,83142138,2001-08-24,2010-05-22
she,7159414,2015-12-08,2018-01-03
citizen,88904310,2006-12-01,2012-07-21
difficult,54394870,1970-01-17,1975-02-28
director,18944708,1999-05-13,2003-11-19
we,7159414,1980-04-11,1999-11-21
in,6197883,1974-08-24,2006-08-15
suffer,26474720,2024-02-29,2024-06-11
open,36099708,1990-03-03,2007-09-29
common,60228968,2018-10-09,2023-09-07
necessary,61761515,1973-04-28,1995-01-10
occur,67654784,2020-12-28,2023-04-30
pay,42602569,2024-02-07,2024-07-02
want,52998845,1992-01-22,1994-03-11
probably,25367215,2002-04-15,2014-05-30
can,78219626,1984-09-23,1997-04-04
else,96069083,1983-08-01,1998-06-23
trip,72401920,1970-04-27,1982-08-29
two,1092608,2001-11-28,2009-11-25
attention,70577208,2006-06-10,2023-08-18
exist,63351407,1995-12-29,2006-04-21
stage,13620800,2009-06-09,2023-07-01
word,46756413,1982-02-08,1990-01-27
mother,96887147,1997-09-07,2019-06-06
kind,98720095,2022-03-13,2022-09-29
management,61510559,1973-01-01,2011-08-06
late,46135459,2012-11-28,2021-08-12
student,6309000,2010-05-06,2010-12-07
daughter,83846599,1984-09-16,1993-03-11
treatment,50336317,1987-09-20,2006-10-15
key,81647831,1972-05-26,1979-07-09
executive,37571024,1993-07-22,2021-01-01
every,41714326,1995-03-28,2008-11-11
charge,2912438,1988-12-07,2010-11-26
what,24801568,1994-05-17,2000-10-19
none,3656234,2015-03-30,2021-08-26
cell,5490568,1984-04-02,2013-09-04
population,51286147,2010-04-11,2019-05-04
industry,97681918,1985-12-27,1995-10-05
care,29301800,1975-11-06,1977-12-07
deep,53282892,1971-11-23,1988-01-21
everybody,69513034,2007-10-11,2022-06-21
most,63603768,2019-06-09,2020-10-24
player,59652666,1977-10-30,2022-05-25
tell,87025196,2000-09-16,2016-11-15
later,87974619,1997-07-18,1998-12-15
will,3441087,1994-06-11,2000-03-19
finally,6225204,2006-02-27,2013-05-10
catch,1210427,2019-11-07,2023-03-27
song,89240445,2014-08-02,2015-11-21
mention,57655907,2018-10-06,2020-08-03
one,33533770,1985-07-03,2005-03-13
commercial,84034086,2005-08-10,2020-05-03
community,72459062,1988-02-24,2008-10-19
far,91672703,1986-03-07,2006-04-28
same,95022212,1978-06-16,1997-11-20
season,74996643,1991-04-21,2022-08-12
learn,64810102,2003-05-08,2007-12-29
big,23355457,1995-11-03,2014-07-09
room,41458617,2012-02-06,2013-04-25
owner,8007737,1973-07-24,1998-12-22
book,93619849,1970-11-24,1992-12-12
per,36449056,1994-05-08,1998-04-10
read,39888787,2007-07-23,2012-08-09
serve,18116093,2018-07-28,2021-09-14
many,34591185,2022-06-08,2023-12-13
pull,86982934,1985-03-14,2021-03-13
look,62826482,2015-08-12,2022-01-09
none,88031962,1998-07-30,2004-02-16
democratic,66379383,1995-10-14,2024-01-25
government,76049643,2020-01-19,2022-10-03
form,83690496,2022-11-04,2024-03-20
beyond,34682745,2018-06-22,2022-06-04
beat,17647354,1998-09-10,2000-09-18
art,37432120,1999-10-28,2006-07-13
suffer,83345667,2008-05-17,2021-05-09
brother,528063,2010-05-14,2024-07-05
along,29332144,1995-04-22,2022-09-20
ask,66287672,2013-04-11,2013-05-18
foreign,98178430,1980-10-08,1996-02-05
fall,37008393,1992-07-11,2017-08-30
trip,19750578,1981-10-22,2016-10-23
seek,5255398,1994-07-31,1996-02-26
protect,85579612,2015-05-22,2020-03-29
bit,87091844,1971-10-25,1982-03-02
such,83723614,2006-09-04,2007-02-23
partner,45982535,1995-10-15,2012-11-24
picture,76508253,1978-07-19,2008-07-12
better,42108239,2014-07-26,2021-01-31
base,60014631,1998-01-15,2003-07-29
college,51657060,1972-02-08,1987-08-03
out,97980378,2018-02-15,2018-10-21
maybe,7326137,2014-12-30,2024-01-29
third,76963843,1995-11-05,2017-04-19
clearly,61125186,2006-02-16,2013-12-11
well,26389442,1992-06-02,2014-02-23
crime,68953776,2016-07-23,2017-09-29
ability,20944853,2007-12-03,2020-03-31
but,66847656,1999-08-21,2014-01-05
draw,32798920,1993-10-07,1997-10-18
another,17157661,2021-02-25,2021-10-03
couple,92624621,1995-05-16,2023-04-03
card,21641335,2020-05-25,2022-06-03
why,99500110,1970-02-18,2014-05-10
conference,77254996,1995-05-02,2011-12-10
onto,85296758,1994-02-06,2013-12-03
system,3098658,1985-12-18,2018-06-23
on,27847347,1973-04-11,1996-07-22
computer,1510591,2010-11-14,2012-02-28
finally,73946296,2004-02-21,2007-12-18
real,87972294,1975-07-03,2020-03-24
everybody,17326803,1994-01-23,2010-07-06
her,22619047,2005-11-10,2013-10-05
finish,28421715,2017-03-12,2018-05-27
range,44924080,2021-08-21,2023-04-27
may,42927061,1995-05-02,1997-11-09
improve,89312512,2007-04-27,2018-08-29
carry,41875615,1996-05-06,2018-08-03
probably,5780455,2019-01-09,2020-10-03
there,73597868,1980-10-03,2001-04-26
base,44825404,1996-10-23,2020-01-24
big,47156516,2024-04-16,2024-07-02
important,46843623,2019-08-01,2023-06-07
after,9996690,1996-08-16,2022-05-01
early,61179928,2007-01-17,2014-12-15
responsibility,25549208,1992-09-09,1996-04-02
prepare,40668981,1977-12-12,2018-03-12
scene,45841257,2013-08-01,2021-12-10
also,49703103,1997-05-25,2004-12-12
recognize,8340603,2003-08-03,2016-02-17
without,19956154,2023-07-16,2024-07-02
friend,40022580,2003-04-15,2007-01-20
rock,5011265,2013-08-04,2016-02-05
career,34870330,1997-11-10,2009-07-02
note,27404205,1997-12-20,2015-09-26
society,35351879,1987-09-29,1998-07-25
unit,91595622,2011-03-01,2020-10-23
major,35673697,2023-04-22,2023-07-27
structure,30369495,2012-06-28,2020-06-22
sea,20328948,1970-10-26,2013-08-22
weight,73643552,1992-04-16,2020-11-25
theory,75133220,2023-10-26,2024-01-09
seat,63047132,1982-08-18,2019-07-07
collection,97270200,2021-07-19,2023-06-02
issue,67322966,1980-07-16,2016-03-23
trouble,22345455,1984-09-13,1989-08-06
away,22631855,2011-07-06,2021-06-01
major,70898569,2013-10-16,2022-08-04
seven,21775321,2018-02-25,2022-11-03
agreement,47733260,2016-01-04,2023-08-03
add,53239335,1974-12-21,1978-09-22
staff,17147667,1982-01-12,2008-03-10
surface,14034131,2015-08-23,2021-04-27
college,56837865,1975-08-20,2016-12-15
create,89481786,1989-09-28,2007-05-01
one,73993222,1993-02-13,2008-07-15
process,43109668,1975-04-10,1984-02-28
particular,16399646,1994-06-11,2014-04-18
degree,32761276,1974-10-04,2003-07-10
though,50564106,2002-11-17,2010-02-03
born,59568012,1996-02-04,2004-08-12
majority,95391123,2005-09-22,2019-05-12
show,44256092,1970-12-07,1971-07-09
might,87942063,1973-12-29,1985-05-30
exist,38815632,1989-05-27,2019-07-22
able,4957783,1976-10-09,1984-10-14
take,48641090,1972-07-11,2006-09-16
court,54397286,2011-03-01,2017-04-16
south,68615661,2003-01-12,2005-06-20
simply,94601199,2005-02-20,2023-01-14
area,32884408,2015-09-02,2024-03-16
find,32441981,2007-01-30,2022-05-18
add,16223226,1973-05-12,1975-03-13
surface,61455845,1984-06-23,1989-11-17
look,68178006,1979-12-05,2004-03-24
during,75344375,2004-03-20,2009-02-01
community,92062569,1987-09-28,1991-11-16
light,21532343,2019-08-22,2021-04-30
billion,67941165,1987-02-11,1990-11-09
build,74523310,1996-03-25,2001-10-20
near,67312562,2014-06-09,2019-11-05
occur,18449049,1987-11-10,2008-09-06
design,90031766,1998-02-17,2014-04-12
cause,54833034,2017-06-09,2023-03-02
care,96842949,1998-05-10,2010-10-10
thing,19456794,2000-04-04,2000-05-01
child,36159221,1978-06-07,2008-06-02
already,20252477,1996-03-14,2018-06-26
which,83442889,1973-09-25,2022-04-04
weight,39974363,1977-04-11,2007-08-28
yard,56125965,1987-01-05,2008-01-05
change,20892022,1987-05-03,2015-04-11
character,98070520,1976-07-18,1997-07-27
rate,88580738,2014-08-28,2021-10-26
color,83656086,1970-05-04,2017-07-02
team,25873277,1995-11-26,2012-12-08
good,78403242,1980-03-24,2002-05-02
serious,85030318,1987-05-04,1998-06-15
government,84423047,2012-07-15,2019-03-08
design,41274540,2003-02-24,2016-09-09
view,13924707,2019-04-18,2021-01-05
manage,58123996,2019-10-05,2024-06-19
us,93327442,2021-11-07,2022-10-02
image,60307569,1977-07-30,1990-11-14
clearly,33621744,2011-04-09,2019-01-21
reveal,83256244,1994-03-04,2012-09-03
protect,74196859,2003-11-25,2008-10-09
with,24019249,2014-05-26,2023-08-12
worker,90754189,1991-03-12,2024-05-06
product,69264181,2024-02-15,2024-06-05
reveal,70717764,1991-03-06,1993-01-31
ago,48911417,1991-01-07,1995-01-16
that,71506435,2013-12-26,2019-07-08
rather,26468019,1974-12-10,2009-07-26
expect,1441217,2022-06-12,2022-10-29
ahead,54655408,2002-08-06,2013-12-04
financial,42117375,2006-07-09,2018-01-26
run,57247527,2022-09-12,2023-05-03
generation,12899024,2013-04-18,2017-11-20
specific,66589898,1973-04-08,2002-03-31
bring,48338914,1994-01-13,2016-10-27
second,18899647,2001-03-06,2014-10-07
fire,72334400,1972-02-13,1982-06-22
stand,21829425,2019-07-04,2023-03-15
million,49887761,2003-01-08,2017-08-05
probably,81741913,1982-06-25,2008-12-28
defense,22092996,1989-09-07,2003-12-21
book,42204913,1979-02-18,1998-09-30
drug,99291529,1984-03-16,2021-12-06
method,1429208,1984-10-18,1991-12-26
back,11513684,2011-04-19,2023-03-29
major,96068290,1995-01-22,2018-04-10
home,82065556,2018-12-12,2021-03-29
major,88561158,2008-06-09,2016-09-20
card,2602490,2016-05-31,2019-07-20
campaign,74196694,2021-04-14,2023-02-03
would,68949463,1993-08-27,2009-04-16
bit,4762688,1971-10-22,2010-03-22
during,20536929,1991-09-17,2012-03-30
new,39483420,1977-02-11,2018-11-14
exactly,1523460,1976-07-12,1991-07-29
need,25456403,2002-09-08,2004-10-24
coach,25119292,2010-03-23,2019-10-30
bit,1979925,2011-08-02,2019-01-20
fine,15596596,1983-02-22,2009-04-22
return,81489091,1972-08-05,1983-07-20
there,80095560,1980-02-01,1986-12-09
always,95741659,1978-11-27,2000-10-03
key,45681179,1987-09-15,2011-08-16
second,89959533,2009-09-07,2019-06-12
food,38653651,1999-11-09,2004-03-31
recently,99423267,2009-08-03,2011-09-06
his,49175605,2019-02-22,2021-08-27
no,76815904,2000-02-13,2020-06-26
majority,33930694,1982-01-30,1994-07-12
partner,33625471,2009-04-17,2011-05-31
begin,23134267,2017-01-06,2018-01-01
candidate,94481160,1978-10-23,2022-03-07
move,3865133,2011-11-05,2022-09-19
next,35364828,1991-01-03,2015-02-09
market,88151259,1971-12-25,2008-09-21
hotel,894151,1985-11-11,2010-03-29
according,46272616,1978-03-17,2013-05-21
garden,689167,1987-03-02,2000-11-01
article,87287031,2021-04-17,2022-05-07
carry,82589167,1999-11-29,2008-06-02
window,30437707,2006-11-23,2023-05-20
note,64295403,2000-05-08,2002-10-04
born,56536523,2001-12-09,2008-10-30
them,72825366,1971-10-13,2002-10-01
office,80684841,2005-02-25,2021-05-14
above,30748862,2011-11-02,2015-12-11
look,45493082,1973-07-19,2010-12-09
allow,2234375,2008-12-29,2023-08-05
stop,85333996,1993-11-26,2011-12-22
trip,87223185,1998-04-13,2016-05-26
identify,86434510,2007-11-30,2009-01-22
stage,46444177,1976-05-10,2005-07-03
better,43427099,1992-06-22,1994-12-16
upon,95454322,2016-11-24,2018-07-08
order,23137689,1984-11-10,2008-07-06
west,70898569,2002-04-24,2015-01-12
phone,20384869,1987-05-19,2003-04-13
point,91351304,1983-09-08,1996-11-07
recognize,17282553,2022-10-29,2023-12-12
pass,63440247,1974-05-04,1979-06-11
type,73178639,1982-10-08,2003-06-24
pretty,75595961,1979-12-24,2005-11-17
beautiful,38843962,1971-03-04,1998-12-21
case,47309832,2001-12-04,2021-11-20
financial,78336658,1974-03-27,2006-03-22
use,94924304,1975-01-19,1979-12-13
week,63767739,1986-06-10,2010-11-09
already,45911478,2013-09-19,2021-11-14
against,74242975,1970-05-02,1982-04-23
sing,2046889,2005-05-13,2006-04-27
own,79395821,2007-12-29,2020-07-24
old,72855881,1979-03-06,1985-12-02
international,33438946,1989-01-25,2014-01-18
out,9819131,1993-03-11,2017-02-26
and,60824419,2006-10-08,2011-09-17
eight,31992375,2015-01-29,2016-10-29
quality,68224719,2001-01-27,2002-12-14
picture,91454185,1997-01-12,2001-02-05
blue,13364109,2008-02-13,2010-10-16
decision,13423394,1972-04-15,2008-07-16
financial,79594529,2010-07-18,2016-02-12
kid,11712038,1983-08-23,1987-08-01
finish,88658464,2005-11-05,2007-04-17
of,48179814,2021-03-07,2021-04-18
into,72861186,1978-02-27,1980-07-05
such,11125529,2013-12-14,2021-08-23
mean,31650330,1985-07-02,2019-04-20
whose,26523452,2002-11-07,2007-01-25
help,64483384,1976-04-23,2023-10-08
owner,96363443,2016-03-04,2020-10-06
laugh,95552653,2003-06-04,2012-01-31
usually,62192453,2016-03-17,2023-06-08
mother,72648042,1976-02-22,1993-11-16
discussion,6744125,2017-06-13,2018-11-03
remember,34959956,1982-04-08,2010-09-27
itself,17261255,2007-07-22,2021-01-07
commercial,58059401,1971-11-17,1998-12-06
able,50673650,1971-04-17,2012-06-19
onto,33797380,1985-11-09,2014-07-12
side,38008303,2002-01-02,2015-04-04
catch,46193161,2004-08-04,2021-09-17
ago,39962118,2002-06-13,2023-09-13
quality,34461912,2013-02-13,2019-05-24
have,27293029,1981-09-24,2024-05-22
measure,55770216,1974-09-30,2005-07-19
bag,94903395,2017-12-01,2023-06-22
candidate,62548175,1982-08-20,1995-07-21
any,97166209,1973-12-31,2006-08-02
sign,75032947,2006-04-03,2018-02-21
politics,76009105,1999-01-07,2023-05-22
already,89917445,1971-10-13,2022-10-19
difference,96645535,1972-04-05,1980-12-30
Republican,25642058,1989-05-20,2004-04-23
right,71943585,2015-03-20,2022-02-22
example,83448914,1982-03-06,1993-03-20
consumer,75882478,1985-11-03,2006-12-13
letter,71488480,1987-03-05,2004-08-30
send,6170737,2012-03-01,2024-03-17
daughter,38689268,1974-07-11,2003-06-01
art,94581652,1983-12-21,2019-12-26
future,86070351,2013-05-02,2021-08-05
hand,30397895,1990-03-02,2019-12-09
type,16574730,1991-08-30,2017-08-22
bank,66059665,2022-08-22,2023-07-17
history,2340846,1971-05-26,1997-12-23
car,36961921,2013-02-12,2015-06-04
friend,73017492,1999-11-11,2014-07-24
center,34399724,2010-09-14,2024-02-24
after,11938168,2023-04-17,2024-02-07
bill,96870282,1970-02-24,2005-03-19
skin,89957012,2013-11-24,2023-06-08
PM,27166851,1987-12-04,2009-06-03
quite,58493153,2004-06-14,2013-02-12
buy,760420,1986-02-01,1999-01-22
treatment,43379549,1974-11-20,1997-11-08
majority,11713835,2012-04-09,2012-12-17
rule,22733116,2006-12-16,2015-12-05
thought,76275265,2012-12-02,2023-02-24
poor,38200682,1997-06-10,2015-10-02
listen,86626633,2023-09-13,2024-06-16
choice,85725890,1999-12-22,2022-05-26
raise,26578345,2022-12-27,2024-02-12
me,8667436,2013-12-24,2024-06-01
school,92048651,1979-03-27,1995-05-07
able,76360140,2014-05-28,2023-12-26
job,5644939,1982-02-22,2015-08-04
finish,64517849,1993-09-01,2006-02-11
well,35145078,2009-03-23,2013-10-25
test,2461455,1976-02-20,2018-06-30
expert,5867215,2016-04-13,2021-08-11
whom,39779292,2005-09-29,2007-07-07
in,5376918,1992-01-26,2006-04-30
gun,37394182,1971-08-27,1975-08-18
treatment,95511464,1984-08-15,2019-03-24
discuss,73218690,2021-07-20,2022-12-12
such,62066528,1998-07-08,2011-03-26
space,90745896,1977-09-29,2005-08-05
arm,65627634,1978-12-27,1979-06-21
six,45005449,2008-12-01,2013-03-10
authority,16219346,2006-01-20,2020-08-14
send,27504018,1977-07-29,2022-09-13
idea,29515882,2016-05-31,2018-09-16
last,38474942,2017-03-15,2019-05-16
town,44691048,2004-04-10,2020-07-10
father,24181370,2005-09-11,2014-07-09
south,21125512,1976-09-01,2018-10-31
sure,48282918,1985-03-27,2001-09-14
behavior,16657931,1983-03-18,1997-01-24
relate,32754286,1972-09-15,2005-10-01
language,72993127,1988-03-13,1999-12-13
arm,92436132,1977-07-16,1999-03-24
health,56385145,2005-09-16,2022-04-07
experience,54685681,1981-01-17,2019-12-25
marriage,95706264,1974-09-06,2010-10-19
career,59697375,1999-12-06,2001-08-14
recent,7140037,1972-03-07,2006-12-31
young,11884143,2006-07-21,2019-09-10
bar,82311540,1970-06-19,1980-04-07
professional,93055864,1992-01-15,2001-05-24
remember,77375046,1986-05-02,1988-12-14
visit,82305063,1985-11-15,1999-03-11
particular,67369143,2021-02-04,2024-03-09
industry,5334204,2004-10-02,2020-03-16
despite,10247716,2010-11-30,2024-04-24
nice,32731524,1978-09-28,2011-04-19
special,86806886,1980-01-09,2005-07-07
upon,25598408,1996-04-12,2014-11-04
gun,90437041,1974-02-12,2002-09-06
common,28489208,1972-03-17,1988-08-15
relate,25639350,1979-09-08,2021-07-08
nature,37662418,1978-06-25,2017-07-06
firm,61931947,2018-11-06,2020-03-05
role,83888693,2023-12-01,2024-04-17
positive,99972561,1993-09-09,1994-02-26
for,77737206,1978-12-05,2000-08-23
position,10558379,1989-12-23,1994-03-10
especially,84629403,1994-12-19,2002-07-03
understand,32831715,1995-04-07,2000-10-25
sport,63920622,1994-04-18,2017-09-24
than,52782646,1975-06-10,1980-10-21
knowledge,70208158,1970-06-20,2006-09-10
home,15009809,2000-03-02,2010-05-28
wish,45947469,1996-05-28,1997-11-30
born,16387106,2022-04-11,2022-06-02
system,63469950,1989-03-22,1991-04-19
take,84492698,2012-01-21,2017-03-25
discover,86954937,2016-05-07,2020-07-06
cell,76179865,1980-09-16,1992-06-30
its,86178066,1987-10-06,2009-07-11
research,46110848,2013-05-02,2020-10-24
pass,85155757,1985-08-05,2003-01-28
since,43719284,2007-01-19,2014-09-13
politics,73650003,1981-04-19,2002-08-16
sit,90367278,2019-07-10,2022-08-30
class,49083325,1972-07-03,2016-11-29
hotel,63973773,2000-11-12,2015-12-17
however,73069837,1975-04-07,2006-06-23
almost,77393612,1976-03-20,1979-01-06
born,98604258,2005-07-07,2007-06-14
care,70638159,1987-01-01,1987-10-29
forget,41663471,2013-05-02,2022-11-01
about,99053279,2010-10-14,2016-07-13
send,62256434,1991-09-23,1993-02-13
certain,98631081,1972-03-23,2007-10-16
item,59866822,2014-10-30,2017-03-18
hot,21563579,1977-10-14,1993-09-26
system,70694192,1996-08-16,2017-09-05
close,128509,1973-03-15,1999-08-11
when,31023541,1998-11-26,2001-03-16
meeting,8363608,1971-11-07,1993-07-04
town,76944852,2018-02-25,2023-02-27
return,1425292,1996-08-11,2000-12-03
wait,81242434,1982-09-11,2021-09-15
hit,43837903,1979-07-10,1982-05-05
it,32777015,1971-02-07,1985-06-14
change,43028101,2018-09-14,2024-01-14
paper,37968559,1999-11-05,2005-11-29
wonder,74578435,1982-07-09,2006-07-03
watch,80413968,1988-04-09,1989-08-08
final,2446995,2020-05-03,2024-02-24
later,67143627,2008-01-09,2008-03-31
hour,59568012,1985-01-20,2023-10-22
necessary,96331792,1996-12-04,2005-03-09
quickly,23927781,1974-12-03,2021-07-17
part,67374404,1982-03-16,2001-08-07
discover,38266125,2016-06-26,2016-09-27
marriage,57619695,1986-04-02,2019-04-06
former,75544275,1976-03-27,2014-09-24
notice,14029660,1977-09-02,1999-03-19
director,89775868,2010-02-26,2018-05-16
election,71498334,2004-04-13,2015-05-04
fight,1389020,2022-12-06,2023-09-02
lawyer,61151620,2007-02-11,2012-04-04
include,10448691,1984-05-16,1990-01-09
low,83805975,1999-06-05,2001-04-01
suffer,94181799,2023-12-25,2024-01-08
soon,74416924,2020-04-15,2024-06-19
cause,92002382,1996-10-19,2001-02-12
significant,7983107,1986-09-11,1999-07-12
answer,99097598,1972-01-08,1990-12-13
lay,98007697,1990-07-26,2003-12-27
eight,69721069,2022-09-26,2023-10-16
son,51541470,2018-02-28,2021-12-20
goal,80437432,1987-05-15,2015-09-30
lose,60050885,1974-03-08,1994-10-18
including,45721585,2003-07-07,2013-10-01
send,81885634,2018-07-08,2023-02-09
understand,68233136,2015-07-13,2016-03-26
list,75775723,1971-03-19,1999-11-26
challenge,17978989,2004-03-29,2014-12-03
pretty,67978279,1998-01-17,2020-08-08
difficult,26703985,2003-01-01,2004-03-01
pass,95369654,2016-02-28,2023-01-17
significant,41150079,1977-12-14,2022-09-19
recent,62766721,2013-09-08,2020-05-20
environment,24104210,1996-03-22,2006-07-06
indeed,82295012,2018-10-29,2023-11-13
then,552424,2010-02-13,2017-09-16
parent,75228789,2020-01-08,2021-02-03
final,95920867,1975-12-12,1994-08-06
life,76403769,1997-03-27,2008-03-01
short,31196473,1992-04-08,2001-09-24
agent,63686551,1974-01-04,1990-08-10
charge,50218270,1972-01-25,2023-09-15
question,36968313,1994-03-28,2014-10-21
sport,48843574,2023-04-30,2024-07-05
individual,98925229,2014-06-11,2015-06-24
crime,9766326,2005-08-05,2021-01-01
fire,51996136,2004-11-12,2005-12-09
eat,76458664,1972-01-11,2001-02-09
image,31953248,2004-03-21,2009-05-07
through,22327724,1998-09-22,2013-05-28
history,38168259,1974-01-04,1998-03-24
church,65771950,2018-03-22,2022-02-07
away,82665769,1998-02-08,2018-02-13
pick,97462856,1999-10-01,2011-09-12
role,82070826,2002-06-25,2004-03-13
stage,92649935,1990-03-27,2011-02-23
charge,41474485,1999-01-15,2022-08-06
enter,12662522,2001-08-09,2019-07-14
second,4924148,2007-09-11,2024-02-13
change,40898884,1986-07-20,2005-09-28
during,59092002,2003-07-18,2017-03-12
catch,80546131,1986-12-06,1998-09-19
finally,84086788,1978-10-20,1989-07-04
business,92518527,2009-02-15,2020-06-10
religious,54779527,2024-03-04,2024-04-05
little,94740925,1994-01-02,1994-07-05
policy,63925273,1985-04-05,2005-01-26
establish,15210334,2017-04-11,2021-01-19
final,21180471,1987-08-07,1995-09-21
newspaper,99494930,2005-05-12,2009-07-16
bring,40617763,2010-02-06,2017-03-03
design,87235358,2015-12-02,2020-08-22
compare,88808096,2014-12-23,2015-05-20
by,92294499,1974-08-26,2007-04-12
impact,35614017,1999-02-17,2011-01-09
such,83487373,2011-06-19,2013-09-16
able,88993496,2014-05-10,2015-01-16
voice,22628058,2020-04-13,2022-09-17
senior,74635400,1992-04-08,2008-09-09
do,31268834,2010-01-01,2022-06-19
single,51604021,2018-10-15,2020-09-14
letter,29896800,2011-06-08,2014-06-15
mother,60595083,2016-10-22,2018-09-24
husband,37466606,1986-12-03,1996-07-01
goal,76009105,1995-08-25,2002-09-29
difficult,22156937,2015-10-09,2024-05-24
all,86638849,1976-05-05,1988-01-25
tax,39498150,2010-07-19,2016-03-26
late,10388847,1973-03-16,2020-05-21
last,60907399,1993-12-23,2018-03-03
vote,79156024,2005-11-26,2015-01-28
clearly,93582166,2007-04-06,2014-10-17
week,47246294,1997-07-30,2005-12-13
poor,83812397,1990-02-24,1996-08-01
stock,18250204,1994-11-09,1995-07-15
experience,99858886,2023-04-17,2024-02-24
game,79672959,2007-08-22,2017-05-22
dark,70281247,2020-12-06,2023-11-17
knowledge,14297477,1996-01-15,2021-08-24
physical,92627805,1971-06-03,1974-04-06
past,7747135,1983-03-06,2004-01-30
family,79820285,2015-02-15,2023-01-12
situation,63236567,1991-10-03,2002-03-05
team,89916322,1980-05-30,2011-01-18
fine,22232113,2016-12-06,2020-06-10
against,11851402,2012-02-08,2012-08-12
measure,15013295,2005-01-15,2009-04-13
computer,65216371,2013-05-26,2017-01-23
protect,91451055,1990-07-11,2013-08-21
program,7656045,2015-02-21,2021-10-30
garden,21949974,2018-10-02,2019-12-30
appear,62351194,1981-08-17,2009-12-22
rock,94020909,1996-12-10,2017-10-01
perform,26360843,1984-02-07,1986-05-11
population,63893697,2003-01-01,2015-06-16
main,47806270,2001-01-27,2001-04-06
as,29517709,2001-04-20,2002-06-12
great,16828457,1993-08-27,1998-05-06
between,87585904,1983-02-06,2011-12-02
dog,13562692,1974-12-13,2006-08-18
special,61075005,1978-01-03,2012-11-18
police,57321192,1986-02-24,2001-08-25
development,39811942,2000-05-28,2014-02-17
hot,37180021,1995-09-29,2023-07-25
show,49260855,2023-08-08,2024-03-30
structure,43648453,2009-07-25,2014-07-25
wide,84064956,2009-03-31,2017-07-19
get,18452797,1979-11-07,2001-12-05
very,8050648,2011-02-01,2020-09-27
relate,15556205,2018-05-26,2023-04-02
interview,85356760,2021-02-17,2021-07-04
mention,90496628,1991-11-01,2008-11-24
business,6673450,2022-06-15,2023-10-22
short,23380480,1979-05-13,2019-05-06
expert,19664243,1993-10-26,2011-08-01
eat,22797185,1977-11-04,1990-07-07
prove,52664000,2000-11-28,2024-03-16
remember,52172092,2011-03-07,2019-12-31
must,17004904,2022-09-03,2023-06-09
last,95530904,1986-08-29,2005-04-21
myself,84012290,1973-07-28,1991-05-23
very,88207317,1990-01-20,2018-11-03
sing,66018343,1997-12-15,1998-02-01
read,17081260,1991-12-31,1992-02-04
none,79085336,2001-02-06,2019-07-27
home,73109220,1987-01-06,2017-06-03
the,36475153,2005-03-12,2019-12-16
economic,348248,1982-10-03,1990-11-01
thank,39260402,1971-04-12,2020-06-04
